segment,denominator_class,default_life_type,typical_rev_per_unit_low,typical_rev_per_unit_high,notes
medicare_advantage,covered_life,enrolled,12000,16000,"Per-enrolled-member revenue for MA plans (premium net of medical costs is separate)"
medicare_advantage_full_risk,covered_life,enrolled,13000,18000,"Full-risk MA capitation; varies heavily by HCC RAF and v28 phase-in"
mssp_aco,covered_life,attributed,9000,13000,"MSSP attributed Medicare FFS beneficiaries; shared savings is incremental to FFS spend"
aca_marketplace,covered_life,enrolled,5000,8000,"ACA individual market enrolled member revenue"
medicaid_managed,covered_life,enrolled,3000,7000,"Medicaid MCO PMPM × 12; varies by state and population"
vbc_enabler_pcp,covered_life,attributed,1500,5000,"Per-attributed-life NET economics (platform contribution), not gross pass-through"
vbc_enabler_specialty,covered_life,attributed,1000,4000,"Specialty VBC (oncology, kidney, cardio); NET platform contribution"
employer_navigation,covered_life,eligible,30,120,"Employer PEPM × 12 over eligible employee population"
employer_msk,covered_life,eligible,25,90,"Digital MSK on eligible employee population"
employer_mental_health,covered_life,eligible,30,150,"EAP+ / digital mental health on eligible population"
dtc_telehealth_subscription,covered_life,subscriber,200,800,"DTC telehealth subscriber ARPU"
dtc_specialty_pharmacy,covered_life,subscriber,400,1500,"DTC Rx subscription programs"
consumer_wellness_subscription,covered_life,subscriber,30,120,"Meditation, sleep, fitness consumer subscriptions"
provider_saas,provider,,1000,8000,"Per-clinician seat-style SaaS"
provider_network_advertising,provider,,,,"Physician/HCP network advertising; rev/provider varies by engagement, not seat"
revenue_cycle_management,contract,,,,"Health-system contracts; per-contract revenue varies by system size"
health_data_commercial,contract,,,,"Claims/EHR data licensing; per-contract"
diagnostics_genomics,test,,1000,3500,"Per-test ASP for genomic dx"
diagnostics_at_home,test,,50,300,"OTC and at-home dx"
ai_drug_discovery,contract,,,,"Pharma partnership / milestone revenue"
precision_medicine_data,contract,,,,"Tempus-style data + dx hybrid; per-pharma-contract"
